x_value,pewdipie,t-series
1,110000000,188000000
2,110000000,188000000
3,110000000,188000000
4,110000000,188000000
5,110000000,188000000
6,110000000,188000000
7,110000000,188000000
8,110000000,188000000
9,110000000,188000000
10,110000000,188000000
11,110000000,188000000
12,110000000,188000000
13,110000000,188000000
14,110000000,188000000
15,110000000,188000000
16,110000000,188000000
17,110000000,188000000
18,110000000,188000000
19,110000000,188000000
20,110000000,188000000
21,110000000,188000000
22,110000000,188000000
23,110000000,188000000
24,110000000,188000000
25,110000000,188000000
26,110000000,188000000
27,110000000,188000000
28,110000000,188000000
29,110000000,188000000
30,110000000,188000000
31,110000000,188000000
32,110000000,188000000
33,110000000,188000000
34,110000000,188000000
35,110000000,188000000
36,110000000,188000000
37,110000000,188000000
38,110000000,188000000
39,110000000,188000000
40,110000000,188000000
41,110000000,188000000
42,110000000,188000000
43,110000000,188000000
